Location Name,School Year,Assessment/ Subject,Student Group,Student Type/Crosstab,Mean SAT Score,Benchmark,Met or Exceeded,% Met or Exceeded,Did Not Meet,% Did Not Meet,Number Assessed
Statewide,2016-17,SAT Total Score,All Students,All Students,1007.6,N/A,"37,001",34.90%,"68,904",65.10%,"105,905"
Statewide,2016-17,SAT Evidence-Based Reading and Writing,All Students,All Students,509.9,480,"63,845",60.30%,"42,060",39.70%,"105,905"
Statewide,2016-17,SAT Mathematics,All Students,All Students,497.6,530,"39,054",36.80%,"66,929",63.20%,"105,983"
