Location Name,School Year,Assessment/ Subject,Student Group,Student Type/Crosstab,Mean SAT Score,Benchmark,Met or Exceeded,% Met or Exceeded,Did Not Meet,% Did Not Meet,Number Assessed
Statewide,2021-22,SAT Total Score,All Students,All Students,959.9,N/A,"26,811",28.10%,"68,710",71.90%,"95,521"
Statewide,2021-22,SAT Evidence-Based Reading and Writing,All Students,All Students,489.5,480,"49,310",51.60%,"46,211",48.40%,"95,521"
Statewide,2021-22,SAT Mathematics,All Students,All Students,470.4,530,"28,617",30.00%,"66,908",70.00%,"95,525"
