Location Name,School Year,Assessment/ Subject,Student Group,Student Type/Crosstab,Mean SAT Score,Benchmark,Met or Exceeded,% Met or Exceeded,Did Not Meet,% Did Not Meet,Number Assessed
Statewide,2015-16,SAT Total Score,All Students,All Students,1001,N/A,"36,371",34.90%,"67,896",65.10%,"104,267"
Statewide,2015-16,SAT Evidence-Based Reading and Writing,All Students,All Students,507.4,480,"62,720",60.20%,"41,547",39.80%,"104,267"
Statewide,2015-16,SAT Mathematics,All Students,All Students,493.6,530,"38,406",36.80%,"65,861",63.20%,"104,267"
