Location Name,School Year,Assessment/ Subject,Student Group,Student Type/Crosstab,Mean SAT Score,Benchmark,Met or Exceeded,% Met or Exceeded,Did Not Meet,% Did Not Meet,Number Assessed
Statewide,2017-18,SAT Total Score,All Students,All Students,1000.1,N/A,"36,409",34.60%,"68,724",65.40%,"105,133"
Statewide,2017-18,SAT Evidence-Based Reading and Writing,All Students,All Students,505.3,480,"60,757",57.80%,"44,376",42.20%,"105,133"
Statewide,2017-18,SAT Mathematics,All Students,All Students,494.8,530,"38,824",36.90%,"66,315",63.10%,"105,139"
